Week ID,Week Text
42400,2024-39
42307,2024-38
42196,2024-37
42087,2024-36
41960,2024-35
41831,2024-34
41728,2024-33
41614,2024-32
41488,2024-31
41364,2024-30
41204,2024-29
41109,2024-28
41007,2024-27
40878,2024-26
40736,2024-25
40635,2024-24
40531,2024-23
40362,2024-22
40162,2024-21
39963,2024-20
39871,2024-19
39743,2024-18
39662,2024-17
39563,2024-16
39458,2024-15
39348,2024-14
39265,2024-13
39182,2024-12
39088,2024-11
38965,2024-10
38891,2024-9
38781,2024-8
38667,2024-7
38563,2024-6
38478,2024-5
38377,2024-4
38273,2024-3
38176,2024-2
38058,2024-1
37967,2023-52
37897,2023-51
37780,2023-50
37685,2023-49
37590,2023-48
37479,2023-47
37383,2023-46
37292,2023-45
37177,2023-44
37059,2023-43
36972,2023-42
36847,2023-41
36744,2023-40
36642,2023-39
36542,2023-38
36441,2023-37
36352,2023-36
36248,2023-35
36118,2023-34
36023,2023-33
35883,2023-32
35736,2023-31
35634,2023-30
35520,2023-29
35416,2023-28
35265,2023-27
35176,2023-26
35038,2023-25
34934,2023-24
34845,2023-23
34752,2023-22
34637,2023-21
34535,2023-20
34446,2023-19
34354,2023-18
34201,2023-17
34175,2023-16
34067,2023-15
33982,2023-14
33883,2023-13
33802,2023-12
33731,2023-11
33633,2023-10
33537,2023-9
33436,2023-8
33362,2023-7
33278,2023-6
33201,2023-5
33087,2023-4
33023,2023-3
32945,2023-2
32857,2023-1
32784,2022-52
32712,2022-51
32640,2022-50
32564,2022-49
32469,2022-48
32373,2022-47
32302,2022-46
32220,2022-45
32125,2022-44
32052,2022-43
31990,2022-42
31900,2022-41
31820,2022-40
31726,2022-39
31649,2022-38
31581,2022-37
31507,2022-36
31432,2022-35
31351,2022-34
31264,2022-33
31199,2022-32
31100,2022-31
31011,2022-30
30932,2022-29
30859,2022-28
30773,2022-27
30674,2022-26
30586,2022-25
30500,2022-24
30406,2022-23
30299,2022-22
30210,2022-21
30105,2022-20
30016,2022-19
29943,2022-18
29823,2022-17
29732,2022-16
29677,2022-15
29558,2022-14
29500,2022-13
29377,2022-12
29250,2022-11
29208,2022-10
29107,2022-9
29030,2022-8
28983,2022-7
28906,2022-6
28822,2022-5
28749,2022-4
28647,2022-3
28560,2022-2
28509,2022-1
28449,2021-52
28368,2021-51
28267,2021-50
28214,2021-49
28138,2021-48
28050,2021-47
28006,2021-46
27917,2021-45
27832,2021-44
27759,2021-43
27694,2021-42
27642,2021-41
27573,2021-40
27467,2021-39
27379,2021-38
27354,2021-37
27300,2021-36
27223,2021-35
27156,2021-34
27064,2021-33
26987,2021-32
26910,2021-31
26844,2021-30
26773,2021-29
26692,2021-28
26621,2021-27
26547,2021-26
26475,2021-25
26412,2021-24
26349,2021-23
26275,2021-22
26217,2021-21
26156,2021-20
26099,2021-19
26048,2021-18
25984,2021-17
25939,2021-16
25884,2021-15
25838,2021-14
25785,2021-13
25730,2021-12
25685,2021-11
25611,2021-10
25569,2021-9
25518,2021-8
25486,2021-7
25441,2021-6
25393,2021-5
25084,2020-51
24953,2020-48
24864,2020-46
24799,2020-45
24713,2020-43
24625,2020-41
24394,2020-36
23783,2020-12
23721,2020-11
23634,2020-10
23585,2020-9
23503,2020-8
23460,2020-7
23403,2020-6
23340,2020-5
23276,2020-4
23218,2020-3
23135,2020-2
23091,2019-53
23043,2019-52
22969,2019-51
22883,2019-50
22816,2019-49
22734,2019-48
22645,2019-47
22572,2019-46
22508,2019-45
22425,2019-44
22364,2019-43
22297,2019-42
22222,2019-41
22171,2019-40
22116,2019-39
22055,2019-38
21993,2019-37
21938,2019-36
21855,2019-35
21772,2019-34
21700,2019-33
21611,2019-32
21531,2019-31
21459,2019-30
21379,2019-29
21310,2019-28
21242,2019-27
21167,2019-26
21123,2019-25
21033,2019-24
20975,2019-23
20905,2019-22
20870,2019-21
20819,2019-20
20758,2019-19
20692,2019-18
20640,2019-17
20586,2019-16
20512,2019-15
20439,2019-14
20378,2019-13
20326,2019-12
20270,2019-11
20229,2019-10
20159,2019-9
20099,2019-8
20056,2019-7
19993,2019-6
19946,2019-5
19878,2019-4
19822,2019-3
19770,2019-2
19703,2019-1
19657,2018-52
19624,2018-51
19578,2018-50
19516,2018-49
19442,2018-48
19368,2018-47
19330,2018-46
19278,2018-45
19217,2018-44
19156,2018-43
19105,2018-42
19041,2018-41
18986,2018-40
18919,2018-39
18859,2018-38
18804,2018-37
18743,2018-36
18668,2018-35
18594,2018-34
18522,2018-33
18458,2018-32
18385,2018-31
18312,2018-30
18246,2018-29
18173,2018-28
18042,2018-27
17995,2018-26
17904,2018-25
17811,2018-24
17716,2018-23
17650,2018-22
17597,2018-21
17533,2018-20
17486,2018-19
17387,2018-18
17308,2018-17
17268,2018-16
17221,2018-15
17167,2018-14
17118,2018-13
17072,2018-12
17017,2018-11
16958,2018-10
16895,2018-9
16812,2018-8
16791,2018-7
16747,2018-6
16648,2018-5
16580,2018-4
16515,2018-3
16461,2018-2
16382,2018-1
16349,2017-52
16307,2017-51
16255,2017-50
16208,2017-49
16091,2017-48
16031,2017-47
15971,2017-46
15921,2017-45
14860,2017-44
14813,2017-43
14762,2017-42
14700,2017-41
14458,2017-40
14416,2017-39
14366,2017-38
14304,2017-37
14253,2017-36
14197,2017-35
14150,2017-34
14106,2017-33
14070,2017-32
14019,2017-31
13975,2017-30
13938,2017-29
13886,2017-28
13831,2017-27
13793,2017-26
13731,2017-25
13696,2017-24
13658,2017-23
13608,2017-22
13556,2017-21
13514,2017-20
13482,2017-19
13429,2017-18
13347,2017-17
13328,2017-16
13291,2017-15
13220,2017-14
13189,2017-13
13134,2017-12
13075,2017-11
13034,2017-10
12961,2017-9
12938,2017-8
12890,2017-7
12859,2017-6
12799,2017-5
12746,2017-4
12706,2017-3
12667,2017-2
12623,2017-1
12585,2016-52
12552,2016-51
12518,2016-50
12463,2016-49
12404,2016-48
12375,2016-47
12320,2016-46
12270,2016-45
12217,2016-44
12155,2016-43
12103,2016-42
12070,2016-41
12030,2016-40
11968,2016-39
11906,2016-38
11873,2016-37
11835,2016-36
11784,2016-35
11742,2016-34
11691,2016-33
11654,2016-32
11639,2016-31
11602,2016-30
11547,2016-29
11527,2016-28
11474,2016-27
11450,2016-26
11419,2016-25
11386,2016-24
11328,2016-23
11308,2016-22
11267,2016-21
11241,2016-20
11199,2016-19
11138,2016-18
11121,2016-17
11065,2016-16
11042,2016-15
10999,2016-14
10946,2016-13
10916,2016-12
10877,2016-11
10840,2016-10
10759,2016-9
10726,2016-8
10700,2016-7
10658,2016-6
10610,2016-5
10565,2016-4
10515,2016-3
10484,2016-2
10445,2016-1
10410,2015-53
10378,2015-52
10339,2015-51
10316,2015-50
10258,2015-49
10213,2015-48
10181,2015-47
10136,2015-46
10069,2015-45
10025,2015-44
9964,2015-43
9929,2015-42
9884,2015-41
9832,2015-40
9775,2015-39
9737,2015-38
9687,2015-37
9642,2015-36
9589,2015-35
9558,2015-34
9526,2015-33
9494,2015-32
9464,2015-31
9416,2015-30
9372,2015-29
9349,2015-28
9282,2015-27
9266,2015-26
9232,2015-25
9193,2015-24
9162,2015-23
9109,2015-22
9049,2015-21
9038,2015-20
8993,2015-19
8923,2015-18
8884,2015-17
8843,2015-16
8745,2015-15
8705,2015-14
8654,2015-13
8619,2015-12
8576,2015-11
8496,2015-10
8480,2015-9
8440,2015-8
8414,2015-7
8367,2015-6
8324,2015-5
8284,2015-4
8213,2015-3
8173,2015-2
8141,2015-1
8092,2014-52
8070,2014-51
8023,2014-50
7989,2014-49
7947,2014-48
7918,2014-47
7883,2014-46
7845,2014-45
7796,2014-44
7748,2014-43
7689,2014-42
7647,2014-41
7606,2014-40
7567,2014-39
7530,2014-38
7498,2014-37
7461,2014-36
7417,2014-35
7393,2014-34
7366,2014-33
7323,2014-32
7314,2014-31
7271,2014-30
7243,2014-29
7212,2014-28
7137,2014-27
7113,2014-26
7079,2014-25
7046,2014-24
7009,2014-23
6964,2014-22
6935,2014-21
6911,2014-20
6871,2014-19
6829,2014-18
6767,2014-17
6757,2014-16
6725,2014-15
6678,2014-14
6631,2014-13
6599,2014-12
6569,2014-11
6507,2014-10
6494,2014-9
6458,2014-8
6430,2014-7
6383,2014-6
6349,2014-5
6317,2014-4
6267,2014-3
6246,2014-2
6210,2014-1
6194,2013-52
6160,2013-51
6111,2013-50
6087,2013-49
6047,2013-48
6005,2013-47
5950,2013-46
5884,2013-45
5838,2013-44
5795,2013-43
5752,2013-42
5715,2013-41
5670,2013-40
5615,2013-39
5572,2013-38
5526,2013-37
5493,2013-36
5456,2013-35
5418,2013-34
5391,2013-33
5358,2013-32
5345,2013-31
5277,2013-30
5218,2013-29
5205,2013-28
5176,2013-27
5120,2013-26
5084,2013-25
5060,2013-24
5012,2013-23
4963,2013-22
4932,2013-21
4891,2013-20
4865,2013-19
4826,2013-18
4794,2013-17
4761,2013-16
4731,2013-15
4675,2013-14
4651,2013-13
4623,2013-12
4590,2013-11
4565,2013-10
4526,2013-9
4498,2013-8
4454,2013-7
4430,2013-6
4395,2013-5
4376,2013-4
4337,2013-3
4312,2013-2
4276,2013-1
4258,2012-52
4229,2012-51
4196,2012-50
4173,2012-49
4133,2012-48
4092,2012-47
4070,2012-46
4044,2012-45
4016,2012-44
3986,2012-43
3946,2012-42
3914,2012-41
3879,2012-40
3849,2012-39
3819,2012-38
3784,2012-37
3727,2012-36
3698,2012-35
3660,2012-34
3648,2012-33
3627,2012-32
3612,2012-31
3584,2012-30
3566,2012-29
3540,2012-28
3516,2012-27
3492,2012-26
3460,2012-25
3433,2012-24
3421,2012-23
3391,2012-22
3374,2012-21
3363,2012-20
3338,2012-19
3317,2012-18
3294,2012-17
3262,2012-16
3232,2012-15
3208,2012-14
3173,2012-13
3149,2012-12
3133,2012-11
3104,2012-10
3061,2012-9
3043,2012-8
3032,2012-7
3018,2012-6
2995,2012-5
2980,2012-4
2961,2012-3
2936,2012-2
2909,2012-1
2850,2011-52
2833,2011-51
2808,2011-50
2787,2011-49
2760,2011-48
2739,2011-47
2731,2011-46
2706,2011-45
2694,2011-44
2681,2011-43
2645,2011-42
2620,2011-41
2596,2011-40
2581,2011-39
2559,2011-38
2541,2011-37
2526,2011-36
2511,2011-35
2487,2011-34
2476,2011-33
2452,2011-32
2437,2011-31
2426,2011-30
2402,2011-29
2381,2011-28
2360,2011-27
2340,2011-26
2317,2011-25
2296,2011-24
2247,2011-23
2226,2011-22
2208,2011-21
2194,2011-20
2167,2011-19
2131,2011-18
2111,2011-17
2094,2011-16
2065,2011-15
2040,2011-14
2013,2011-13
2001,2011-12
1987,2011-11
1974,2011-10
1961,2011-9
1948,2011-8
1919,2011-7
1895,2011-6
1889,2011-5
1877,2011-4
1870,2011-3
1859,2011-2
1846,2011-1
1841,2010-52
1830,2010-51
1825,2010-50
1819,2010-49
1806,2010-48
1794,2010-47
1782,2010-46
1771,2010-45
1756,2010-44
1746,2010-43
1738,2010-42
1726,2010-41
1717,2010-40
1710,2010-39
1697,2010-38
1684,2010-37
1659,2010-36
1646,2010-35
1637,2010-34
1626,2010-33
1618,2010-32
1599,2010-31
1594,2010-30
1577,2010-29
1565,2010-28
1556,2010-27
1548,2010-26
1527,2010-25
1521,2010-24
1507,2010-23
1497,2010-22
1486,2010-21
1476,2010-20
1463,2010-19
1448,2010-18
1435,2010-17
1420,2010-16
1400,2010-15
1389,2010-14
1379,2010-13
1361,2010-12
1354,2010-11
1322,2010-10
1312,2010-9
1300,2010-8
1294,2010-7
1282,2010-6
1274,2010-5
1264,2010-4
1254,2010-3
1247,2010-2
1243,2010-1
1239,2009-53
1230,2009-52
1217,2009-51
1210,2009-50
1205,2009-49
1193,2009-48
1182,2009-47
1175,2009-46
1168,2009-45
1160,2009-44
1153,2009-43
1138,2009-42
1132,2009-41
1078,2009-40
